Source.Name,Minutes,Camera 1,Camera 2,Camera 3,Camera 4,Camera 5,Camera 6,Camera 7,Camera 8,Camera 9,Reading Time
2015-23,9,27,34,49,56,55,,,,,999
2015-23,12,30,42,69,76,74,,,,,999
2015-23,15,36,50,78,80,80,,,,,999
2015-23,18,25,36,67,79,78,,,,,999
2015-23,21,999,999,999,999,999,,,,,999
2015-23,25,19,27,52,70,72,,,,,999
2015-23,30,17,26,48,60,64,,,,,999
2015-24,0,999,999,999,,,,,,,999
2015-24,3,8,12,14,,,,,,,999
2015-24,6,19,27,31,,,,,,,999
2015-24,9,26,37,48,,,,,,,999
2015-24,12,31,45,64,,,,,,,999
2015-24,15,35,47,69,,,,,,,999
2015-24,18,22,30,49,,,,,,,999
2015-24,21,18,26,44,,,,,,,999
2015-24,25,13,20,35,,,,,,,999
2015-24,30,11,17,28,,,,,,,999
2019-27,0,0,0,0,0,0,0,0,0,0,
2019-27,3,10,10,10,2,15,11,24,2,1,58
2019-27,6,25,42,46,28,35,43,55,20,16,60
2019-27,9,45,75,80,65,63,80,75,48,38,64
2019-27,12,90,88,91,95,93,93,95,84,59,60
2019-27,15,95,93,94,95,93,92,91,92,65,56
2019-27,18,90,85,90,91,86,87,83,84,48,53
2019-27,21,60,82,85,90,81,85,78,81,40,52
2019-27,25,40,75,82,87,75,81,76,75,30,60
2019-27,30,30,55,80,85,70,75,70,76,25,57
2019-28,0,0,0,0,0,0,0,0,0,0,
2019-28,3,2,3,10,1,10,15,20,1,0,82
2019-28,6,18,37,45,26,26,41,57,19,10,78
2019-28,9,39,83,82,78,66,85,79,53,38,77
2019-28,12,90,90,93,95,92,92,90,93,73,81
2019-28,15,94,90,93,94,90,92,90,90,70,71
2019-28,18,90,88,91,93,85,86,84,84,50,68
2019-28,21,71,84,82,84,83,90,80,81,41,69
2019-28,25,45,80,82,88,76,81,74,76,35,69
2019-28,30,35,64,79,87,70,78,70,70,26,70
2019-29,0,0,0,0,0,0,0,0,0,0,
2019-29,3,4,10,7,1,9,9,999,0,0,74
2019-29,6,20,40,47,28,31,42,50,16,8,74
2019-29,9,47,82,82,80,75,87,78,50,38,71
2019-29,12,91,88,93,94,90,92,87,90,69,62
2019-29,15,94,90,93,95,90,92,90,91,69,59
2019-29,18,87,83,88,90,85,86,84,84,40,60
2019-29,21,70,84,88,89,83,82,78,80,40,63
2019-29,25,46,79,80,86,77,80,75,75,33,59
2019-29,30,36,65,80,82,70,75,70,68,28,58
2019-30,0,0,0,0,0,0,0,0,0,0,
2019-30,3,4,3,5,2,10,5,999,1,0,60
2019-30,6,20,36,40,21,30,35,50,10,3,58
2019-30,9,42,80,81,75,70,75,75,41,32,62
2019-30,12,90,88,92,95,90,91,85,90,66,66
2019-30,15,95,90,91,94,91,93,90,91,70,57
2019-30,18,87,85,90,90,86,86,83,84,53,59
2019-30,21,70,80,85,90,80,84,80,80,45,63
2019-30,25,48,80,80,85,75,81,75,74,35,60
2019-30,30,35,64,80,85,69,75,70,64,26,70
2019-32,0,0,0,0,0,0,0,0,,,
2019-32,3,5,1,2,0,8,4,9,,,45
2019-32,6,19,27,33,12,26,30,43,,,50
2019-32,9,36,62,71,56,60,70,68,,,40
2019-32,12,89,81,86,90,89,90,78,,,45
2019-32,15,93,90,90,94,90,90,73,,,49
2019-32,18,76,90,86,90,80,80,50,,,53
2019-32,21,46,79,83,86,70,72,42,,,54
2019-32,25,30,54,80,84,65,60,37,,,51
2019-32,30,20,41,78,80,60,50,30,,,44
2019-33,0,0,0,0,0,0,0,0,,,
2019-33,3,4,2,1,0,8,4,16,,,49
2019-33,6,17,28,33,15,26,29,45,,,53
2019-33,9,35,61,72,55,56,67,68,,,49
2019-33,12,82,85,86,91,88,90,79,,,42
